date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:20:11	53891/53891	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Apr%202021%2000:18:28%20GMT	https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/reports_transactions.html	/Users/kieng/websites/cypto/crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/reports_transactions.html	(from https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/)
00:20:12	55248/55248	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Apr%202021%2000:18:28%20GMT	https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/reports_top_gainers_losers.html	/Users/kieng/websites/cypto/crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/reports_top_gainers_losers.html	(from https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/)
00:20:13	75688/75688	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Apr%202021%2000:18:28%20GMT	https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/reports_market_capitalizations.html	/Users/kieng/websites/cypto/crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/reports_market_capitalizations.html	(from https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/)
00:20:14	51518/51518	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Apr%202021%2000:18:28%20GMT	https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/reports_crypto_stats.html	/Users/kieng/websites/cypto/crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/reports_crypto_stats.html	(from https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/)
00:20:15	45924/45924	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Apr%202021%2000:18:28%20GMT	https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/ico_distribution_countdown.html	/Users/kieng/websites/cypto/crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/ico_distribution_countdown.html	(from https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/)
00:20:16	47681/47681	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Apr%202021%2000:18:28%20GMT	https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/ico_roadmap_timeline.html	/Users/kieng/websites/cypto/crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/ico_roadmap_timeline.html	(from https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/)
00:20:17	46231/46231	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Apr%202021%2000:18:28%20GMT	https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/ico_progress.html	/Users/kieng/websites/cypto/crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/ico_progress.html	(from https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/)
00:20:18	49285/49285	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Apr%202021%2000:18:28%20GMT	https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/ico_details.html	/Users/kieng/websites/cypto/crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/ico_details.html	(from https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/)
00:20:19	61307/61307	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Apr%202021%2000:18:28%20GMT	https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/ico_listing.html	/Users/kieng/websites/cypto/crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/ico_listing.html	(from https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/)
00:20:20	66003/66003	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Apr%202021%2000:18:28%20GMT	https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/ico_filter.html	/Users/kieng/websites/cypto/crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/ico_filter.html	(from https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/)
